fund_name,cik
Citadel Advisors LLC,0001423053
Millennium Management LLC,0001273087
Point72 Asset Management L.P.,0001603466
Balyasny Asset Management L.P.,0001218710
D. E. Shaw & Co. Inc.,0001009207
Renaissance Technologies LLC,0001037389
AQR Capital Management LLC,0001167557
Bridgewater Associates LP,0001350694
Man Group plc,0001637460
Elliott Investment Management L.P.,0001791786
Pershing Square Capital Management L.P.,0001336528
Third Point LLC,0001040273
Starboard Value LP,0001517137
Tiger Global Management LLC,0001167483
Viking Global Investors LP,0001103804
Lone Pine Capital LLC,0001061165
DME Capital Management LP (Greenlight),0001489933
The Baupost Group LLC,0001061768
Tudor Investment Corp,0000854157
Situational Awareness LP,0001697748
