fund_name,cik,cik_source
Tudor Investment Corp,923093,corrected
D. E. Shaw & Co. Inc.,1009207,given
Renaissance Technologies LLC,1037389,given
Third Point LLC,1040273,given
Lone Pine Capital LLC,1061165,given
The Baupost Group LLC,1061768,given
Viking Global Investors LP,1103804,given
Tiger Global Management LLC,1167483,given
AQR Capital Management LLC,1167557,given
Balyasny Asset Management L.P.,1218710,given
Millennium Management LLC,1273087,given
Pershing Square Capital Management L.P.,1336528,given
Bridgewater Associates LP,1350694,given
Citadel Advisors LLC,1423053,given
DME Capital Management LP (Greenlight),1489933,given
Starboard Value LP,1517137,given
Point72 Asset Management L.P.,1603466,given
Man Group plc,1637460,given
Elliott Investment Management L.P.,1791786,given
Situational Awareness LP,2045724,corrected
